title,dates,location,description,url
Man Ray: When Objects Dream - The Metropolitan Museum of Art,"Through February 1, 2026",The Met Fifth Avenue,"American artist Man Ray (1890–1976) was a visionary known for his radical experiments that pushed the limits of photography, painting, sculpture, and film.",https://www.metmuseum.org/exhibitions/man-ray-when-objects-dream
Superfine: Tailoring Black Style - The Metropolitan Museum of Art,,The Met Fifth Avenue,Superfine: Tailoring Black Style presents a cultural and historical examination of Black style over three hundred years through the concept of dandyism.,https://www.metmuseum.org/exhibitions/superfine-tailoring-black-style
"The Roof Garden Commission: Jennie C. Jones, Ensemble - The Metropolitan Museum of Art",,The Met Fifth Avenue,"For the 2025 Roof Garden Commission, Jennie C. Jones presents Ensemble, acoustic sculptures exploring sound, form, and the continuity of art history.",https://www.metmuseum.org/exhibitions/the-roof-garden-commission-jennie-c-jones
"Recasting the Past: The Art of Chinese Bronzes, 1100–1900 - The Metropolitan Museum of Art",,The Met Fifth Avenue,"This exhibit reexamines 12th–19th century Chinese bronzes, once seen as imitations, revealing their unique artistry through 200 works from global collections.",https://www.metmuseum.org/exhibitions/recasting-the-past-the-art-of-chinese-bronzes-1100-1900
Allegory and Abstraction: Selections from the Department of Drawings and Prints - The Metropolitan Museum of Art,,The Met Fifth Avenue,"The exhibition highlights how artists like Matisse, Bourgeois, and others used allegory and abstraction to convey emotion, narrative, and layered meaning.",https://www.metmuseum.org/exhibitions/allegory-and-abstraction-selections-from-the-department-of-drawings-and-prints
"The Genesis Facade Commission: Jeffrey Gibson, The Animal That Therefore I Am - The Metropolitan Museum of Art","Through June 9, 2026",The Met Fifth Avenue,Acclaimed artist Jeffrey Gibson (born 1972) invites reflection on the interconnected relationships between all living beings and the environment.,https://www.metmuseum.org/exhibitions/the-facade-commission-jeffrey-gibson
Witnessing Humanity: The Art of John Wilson - The Metropolitan Museum of Art,"Through February 8, 2026",The Met Fifth Avenue,"The exhibition features over 100 artworks made over the course of Wilson’s career, many of which have not been shown before.",https://www.metmuseum.org/exhibitions/witnessing-humanity-the-art-of-john-wilson
The Magic of Marbling: The Art of Karli Frigge - The Metropolitan Museum of Art,,The Met Fifth Avenue,"Karli Frigge (b. 1943), a leading paper marbler, created innovative works (1960–2000). This exhibit showcases her sample books, guides, and publications.",https://www.metmuseum.org/exhibitions/the-magic-of-marbling-the-art-of-karli-frigge
P. S. Art 2025: Celebrating the Creative Spirit of New York City Kids - The Metropolitan Museum of Art,,The Met Fifth Avenue,P. S. Art is an annual celebration of the artistic achievement of remarkable New York City Public School students and their dedicated art teachers.,https://www.metmuseum.org/exhibitions/p-s-art-2025-celebrating-the-creative-spirit-of-new-york-city-kids
Baseball Cards from the Collection of Jefferson R. Burdick - The Metropolitan Museum of Art,"Through January 20, 2026",The Met Fifth Avenue,"The Jefferson R. Burdick collection at The Met features 100+ historic baseball cards from the 19th century to the 1950s, showcasing legends and varied styles.",https://www.metmuseum.org/exhibitions/baseball-cards-from-the-collection-of-jefferson-r-burdick-2025
